"","id","group","year","empathy_exact"
"M102.Music.Y1","M102","Music","Y1",0.75
"M106.Music.Y1","M106","Music","Y1",0.75
"M107.Music.Y1","M107","Music","Y1",0
"M108.Music.Y1","M108","Music","Y1",0.75
"M109.Music.Y1","M109","Music","Y1",0.75
"M112.Music.Y1","M112","Music","Y1",0.25
"M113.Music.Y1","M113","Music","Y1",0.5
"S101.Sport.Y1","S101","Sport","Y1",0.5
"S103.Sport.Y1","S103","Sport","Y1",0.25
"S104.Sport.Y1","S104","Sport","Y1",1
"S105.Sport.Y1","S105","Sport","Y1",0
"S107.Sport.Y1","S107","Sport","Y1",0
"S108.Sport.Y1","S108","Sport","Y1",0.5
"S109.Sport.Y1","S109","Sport","Y1",0.25
"S110.Sport.Y1","S110","Sport","Y1",0.5
"S111.Sport.Y1","S111","Sport","Y1",0.75
"S114.Sport.Y1","S114","Sport","Y1",0.25
"S117.Sport.Y1","S117","Sport","Y1",0.25
"C101.Control.Y1","C101","Control","Y1",0.5
"C102.Control.Y1","C102","Control","Y1",0.666666667
"C107.Control.Y1","C107","Control","Y1",0.25
"C108.Control.Y1","C108","Control","Y1",1
"C109.Control.Y1","C109","Control","Y1",0.75
"C111.Control.Y1","C111","Control","Y1",0.25
"C112.Control.Y1","C112","Control","Y1",1
"C113.Control.Y1","C113","Control","Y1",0.25
"C114.Control.Y1","C114","Control","Y1",0
"C116.Control.Y1","C116","Control","Y1",0.75
"C104.Control.Y1","C104","Control","Y1",0
"M105.Music.Y1","M105","Music","Y1",1
"S112.Sport.Y1","S112","Sport","Y1",1
"C115.Control.Y1","C115","Control","Y1",0
"M101.Music.Y1","M101","Music","Y1",1
"M104.Music.Y1","M104","Music","Y1",0.666666667
"M110.Music.Y1","M110","Music","Y1",1
"M111.Music.Y1","M111","Music","Y1",0.5
"S106.Sport.Y1","S106","Sport","Y1",0.25
"C106.Control.Y1","C106","Control","Y1",0.5
"M02.Music.Y1","M02","Music","Y1",1
"M04.Music.Y1","M04","Music","Y1",0.25
"M05.Music.Y1","M05","Music","Y1",0
"M06.Music.Y1","M06","Music","Y1",0.75
"M07.Music.Y1","M07","Music","Y1",0
"M09.Music.Y1","M09","Music","Y1",0.25
"M10.Music.Y1","M10","Music","Y1",0.25
"M12.Music.Y1","M12","Music","Y1",0.25
"M17.Music.Y1","M17","Music","Y1",0.25
"S01.Sport.Y1","S01","Sport","Y1",0
"S04.Sport.Y1","S04","Sport","Y1",0
"S07.Sport.Y1","S07","Sport","Y1",0.5
"S08.Sport.Y1","S08","Sport","Y1",0.25
"S17.Sport.Y1","S17","Sport","Y1",0
"S28.Sport.Y1","S28","Sport","Y1",0.5
"S31.Sport.Y1","S31","Sport","Y1",1
"C02.Control.Y1","C02","Control","Y1",0.25
"C03.Control.Y1","C03","Control","Y1",0
"C04.Control.Y1","C04","Control","Y1",0.75
"C07.Control.Y1","C07","Control","Y1",0.5
"C08.Control.Y1","C08","Control","Y1",0.75
"C17.Control.Y1","C17","Control","Y1",0.75
"C19.Control.Y1","C19","Control","Y1",1
"M01.Music.Y1","M01","Music","Y1",0.75
"M03.Music.Y1","M03","Music","Y1",0.75
"M11.Music.Y1","M11","Music","Y1",0.5
"M15.Music.Y1","M15","Music","Y1",0.5
"S05.Sport.Y1","S05","Sport","Y1",0.5
"S10.Sport.Y1","S10","Sport","Y1",0
"S14.Sport.Y1","S14","Sport","Y1",0.75
"S22.Sport.Y1","S22","Sport","Y1",1
"C01.Control.Y1","C01","Control","Y1",0.25
"C05.Control.Y1","C05","Control","Y1",0.5
"C06.Control.Y1","C06","Control","Y1",0
"C11.Control.Y1","C11","Control","Y1",0.5
"C12.Control.Y1","C12","Control","Y1",0.75
"C18.Control.Y1","C18","Control","Y1",0.5
"M08.Music.Y1","M08","Music","Y1",0.25
"C10.Control.Y1","C10","Control","Y1",0.25
"C16.Control.Y1","C16","Control","Y1",0.25
"S15.Sport.Y1","S15","Sport","Y1",1
"S21.Sport.Y1","S21","Sport","Y1",0.75
"C09.Control.Y1","C09","Control","Y1",1
"S02.Sport.Y1","S02","Sport","Y1",1
"S32.Sport.Y1","S32","Sport","Y1",0.75
"M102.Music.Y2","M102","Music","Y2",0
"M106.Music.Y2","M106","Music","Y2",0.666666667
"M107.Music.Y2","M107","Music","Y2",0.666666667
"M108.Music.Y2","M108","Music","Y2",0.833333333
"M109.Music.Y2","M109","Music","Y2",0.833333333
"M112.Music.Y2","M112","Music","Y2",0.666666667
"M113.Music.Y2","M113","Music","Y2",0.833333333
"S101.Sport.Y2","S101","Sport","Y2",0.666666667
"S103.Sport.Y2","S103","Sport","Y2",1
"S104.Sport.Y2","S104","Sport","Y2",0.666666667
"S105.Sport.Y2","S105","Sport","Y2",1
"S107.Sport.Y2","S107","Sport","Y2",1
"S108.Sport.Y2","S108","Sport","Y2",0.5
"S109.Sport.Y2","S109","Sport","Y2",1
"S110.Sport.Y2","S110","Sport","Y2",0.5
"S111.Sport.Y2","S111","Sport","Y2",0.833333333
"S114.Sport.Y2","S114","Sport","Y2",0.833333333
"S117.Sport.Y2","S117","Sport","Y2",0.5
"C101.Control.Y2","C101","Control","Y2",0.5
"C102.Control.Y2","C102","Control","Y2",0.666666667
"C107.Control.Y2","C107","Control","Y2",1
"C108.Control.Y2","C108","Control","Y2",0.5
