"","id","group","year","mep_total"
"M102.Music.Y4","M102","Music","Y4",2
"M106.Music.Y4","M106","Music","Y4",2
"M107.Music.Y4","M107","Music","Y4",4
"M108.Music.Y4","M108","Music","Y4",2
"M109.Music.Y4","M109","Music","Y4",4
"M112.Music.Y4","M112","Music","Y4",4
"M113.Music.Y4","M113","Music","Y4",3
"S101.Sport.Y4","S101","Sport","Y4",3
"S103.Sport.Y4","S103","Sport","Y4",3
"S104.Sport.Y4","S104","Sport","Y4",4
"S105.Sport.Y4","S105","Sport","Y4",2
"S107.Sport.Y4","S107","Sport","Y4",3
"S108.Sport.Y4","S108","Sport","Y4",4
"S109.Sport.Y4","S109","Sport","Y4",2
"S110.Sport.Y4","S110","Sport","Y4",4
"S111.Sport.Y4","S111","Sport","Y4",4
"S114.Sport.Y4","S114","Sport","Y4",2
"S117.Sport.Y4","S117","Sport","Y4",1
"C101.Control.Y4","C101","Control","Y4",2
"C102.Control.Y4","C102","Control","Y4",3
"C107.Control.Y4","C107","Control","Y4",3
"C108.Control.Y4","C108","Control","Y4",4
"C109.Control.Y4","C109","Control","Y4",1
"C111.Control.Y4","C111","Control","Y4",3
"C112.Control.Y4","C112","Control","Y4",2
"C113.Control.Y4","C113","Control","Y4",2
"C114.Control.Y4","C114","Control","Y4",2
"C116.Control.Y4","C116","Control","Y4",3
"C104.Control.Y4","C104","Control","Y4",NA
"M105.Music.Y4","M105","Music","Y4",NA
"S112.Sport.Y4","S112","Sport","Y4",NA
"C115.Control.Y4","C115","Control","Y4",NA
"M101.Music.Y4","M101","Music","Y4",NA
"M104.Music.Y4","M104","Music","Y4",NA
"M110.Music.Y4","M110","Music","Y4",NA
"M111.Music.Y4","M111","Music","Y4",NA
"S106.Sport.Y4","S106","Sport","Y4",NA
"C106.Control.Y4","C106","Control","Y4",NA
"M02.Music.Y4","M02","Music","Y4",4
"M04.Music.Y4","M04","Music","Y4",3
"M05.Music.Y4","M05","Music","Y4",1
"M06.Music.Y4","M06","Music","Y4",4
