"","id","group","year","rmet_percent_correct"
"M102.Music.Y1","M102","Music","Y1",0.392857143
"M106.Music.Y1","M106","Music","Y1",0.535714286
"M107.Music.Y1","M107","Music","Y1",0.25
"M108.Music.Y1","M108","Music","Y1",0.464285714
"M109.Music.Y1","M109","Music","Y1",0.464285714
"M112.Music.Y1","M112","Music","Y1",0.464285714
"M113.Music.Y1","M113","Music","Y1",0.357142857
"S101.Sport.Y1","S101","Sport","Y1",0.214285714
"S103.Sport.Y1","S103","Sport","Y1",0.5
"S104.Sport.Y1","S104","Sport","Y1",0.285714286
"S105.Sport.Y1","S105","Sport","Y1",0.428571429
"S107.Sport.Y1","S107","Sport","Y1",0.428571429
"S108.Sport.Y1","S108","Sport","Y1",0.785714286
"S109.Sport.Y1","S109","Sport","Y1",0.5
"S110.Sport.Y1","S110","Sport","Y1",0.464285714
"S111.Sport.Y1","S111","Sport","Y1",0.571428571
"S114.Sport.Y1","S114","Sport","Y1",0.464285714
"S117.Sport.Y1","S117","Sport","Y1",0.535714286
"C101.Control.Y1","C101","Control","Y1",0.678571429
"C102.Control.Y1","C102","Control","Y1",0.642857143
"C107.Control.Y1","C107","Control","Y1",0.714285714
"C108.Control.Y1","C108","Control","Y1",0.428571429
"C109.Control.Y1","C109","Control","Y1",0.571428571
"C111.Control.Y1","C111","Control","Y1",0.214285714
"C112.Control.Y1","C112","Control","Y1",0.464285714
"C113.Control.Y1","C113","Control","Y1",0.25
"C114.Control.Y1","C114","Control","Y1",0.535714286
"C116.Control.Y1","C116","Control","Y1",0.285714286
"C104.Control.Y1","C104","Control","Y1",0.571428571
"M105.Music.Y1","M105","Music","Y1",0.25
"S112.Sport.Y1","S112","Sport","Y1",0.535714286
"C115.Control.Y1","C115","Control","Y1",0.678571429
"M101.Music.Y1","M101","Music","Y1",0.464285714
"M104.Music.Y1","M104","Music","Y1",0.464285714
"M110.Music.Y1","M110","Music","Y1",0.392857143
"M111.Music.Y1","M111","Music","Y1",0.285714286
"S106.Sport.Y1","S106","Sport","Y1",0.642857143
"C106.Control.Y1","C106","Control","Y1",0.214285714
"M02.Music.Y1","M02","Music","Y1",0.642857143
"M04.Music.Y1","M04","Music","Y1",0.75
"M05.Music.Y1","M05","Music","Y1",0.607142857
"M06.Music.Y1","M06","Music","Y1",0.5
"M07.Music.Y1","M07","Music","Y1",0.714285714
"M09.Music.Y1","M09","Music","Y1",0.607142857
"M10.Music.Y1","M10","Music","Y1",0.5
"M12.Music.Y1","M12","Music","Y1",0.5
"M17.Music.Y1","M17","Music","Y1",0.821428571
"S01.Sport.Y1","S01","Sport","Y1",0.678571429
"S04.Sport.Y1","S04","Sport","Y1",0.892857143
"S07.Sport.Y1","S07","Sport","Y1",0.571428571
"S08.Sport.Y1","S08","Sport","Y1",0.428571429
"S17.Sport.Y1","S17","Sport","Y1",0.642857143
"S28.Sport.Y1","S28","Sport","Y1",0.666666667
"S31.Sport.Y1","S31","Sport","Y1",0.392857143
"C02.Control.Y1","C02","Control","Y1",0.607142857
"C03.Control.Y1","C03","Control","Y1",0.285714286
"C04.Control.Y1","C04","Control","Y1",0.321428571
"C07.Control.Y1","C07","Control","Y1",0.464285714
"C08.Control.Y1","C08","Control","Y1",0.392857143
"C17.Control.Y1","C17","Control","Y1",0.333333333
"C19.Control.Y1","C19","Control","Y1",0.678571429
"M01.Music.Y1","M01","Music","Y1",0.392857143
"M03.Music.Y1","M03","Music","Y1",0.571428571
"M11.Music.Y1","M11","Music","Y1",0.357142857
"M15.Music.Y1","M15","Music","Y1",0.25
"S05.Sport.Y1","S05","Sport","Y1",0.714285714
"S10.Sport.Y1","S10","Sport","Y1",0.642857143
"S14.Sport.Y1","S14","Sport","Y1",0.357142857
"S22.Sport.Y1","S22","Sport","Y1",0.407407407
"C01.Control.Y1","C01","Control","Y1",0.642857143
"C05.Control.Y1","C05","Control","Y1",0.357142857
"C06.Control.Y1","C06","Control","Y1",0.5
"C11.Control.Y1","C11","Control","Y1",0.5
"C12.Control.Y1","C12","Control","Y1",0.714285714
"C18.Control.Y1","C18","Control","Y1",0.464285714
"M08.Music.Y1","M08","Music","Y1",0.642857143
"C10.Control.Y1","C10","Control","Y1",0.357142857
"C16.Control.Y1","C16","Control","Y1",0.407407407
"S15.Sport.Y1","S15","Sport","Y1",0.714285714
"S21.Sport.Y1","S21","Sport","Y1",0.259259259
"C09.Control.Y1","C09","Control","Y1",0.571428571
"S02.Sport.Y1","S02","Sport","Y1",0.571428571
"S32.Sport.Y1","S32","Sport","Y1",0.392857143
"M102.Music.Y2","M102","Music","Y2",0.75
"M106.Music.Y2","M106","Music","Y2",0.75
"M107.Music.Y2","M107","Music","Y2",0.464285714
"M108.Music.Y2","M108","Music","Y2",0.642857143
"M109.Music.Y2","M109","Music","Y2",0.428571429
"M112.Music.Y2","M112","Music","Y2",0.571428571
"M113.Music.Y2","M113","Music","Y2",0.464285714
"S101.Sport.Y2","S101","Sport","Y2",0.535714286
"S103.Sport.Y2","S103","Sport","Y2",0.785714286
"S104.Sport.Y2","S104","Sport","Y2",0.535714286
"S105.Sport.Y2","S105","Sport","Y2",0.607142857
"S107.Sport.Y2","S107","Sport","Y2",0.678571429
"S108.Sport.Y2","S108","Sport","Y2",0.857142857
"S109.Sport.Y2","S109","Sport","Y2",0.642857143
"S110.Sport.Y2","S110","Sport","Y2",0.5
"S111.Sport.Y2","S111","Sport","Y2",0.642857143
"S114.Sport.Y2","S114","Sport","Y2",0.571428571
"S117.Sport.Y2","S117","Sport","Y2",0.821428571
"C101.Control.Y2","C101","Control","Y2",0.678571429
"C102.Control.Y2","C102","Control","Y2",0.464285714
"C107.Control.Y2","C107","Control","Y2",0.642857143
"C108.Control.Y2","C108","Control","Y2",0.607142857
"C109.Control.Y2","C109","Control","Y2",0.535714286
"C111.Control.Y2","C111","Control","Y2",0.5
"C112.Control.Y2","C112","Control","Y2",0.642857143
"C113.Control.Y2","C113","Control","Y2",0.5
"C114.Control.Y2","C114","Control","Y2",0.464285714
"C116.Control.Y2","C116","Control","Y2",0.535714286
"C104.Control.Y2","C104","Control","Y2",0.642857143
"M105.Music.Y2","M105","Music","Y2",0.428571429
"S112.Sport.Y2","S112","Sport","Y2",0.535714286
"C115.Control.Y2","C115","Control","Y2",0.607142857
"M101.Music.Y2","M101","Music","Y2",NA
"M104.Music.Y2","M104","Music","Y2",NA
"M110.Music.Y2","M110","Music","Y2",NA
"M111.Music.Y2","M111","Music","Y2",NA
"S106.Sport.Y2","S106","Sport","Y2",NA
"C106.Control.Y2","C106","Control","Y2",NA
"M02.Music.Y2","M02","Music","Y2",0.678571429
"M04.Music.Y2","M04","Music","Y2",0.607142857
"M05.Music.Y2","M05","Music","Y2",0.642857143
"M06.Music.Y2","M06","Music","Y2",0.642857143
"M07.Music.Y2","M07","Music","Y2",0.714285714
"M09.Music.Y2","M09","Music","Y2",0.714285714
"M10.Music.Y2","M10","Music","Y2",0.642857143
"M12.Music.Y2","M12","Music","Y2",0.678571429
"M17.Music.Y2","M17","Music","Y2",0.714285714
"S01.Sport.Y2","S01","Sport","Y2",0.857142857
"S04.Sport.Y2","S04","Sport","Y2",0.821428571
"S07.Sport.Y2","S07","Sport","Y2",0.714285714
"S08.Sport.Y2","S08","Sport","Y2",0.785714286
"S17.Sport.Y2","S17","Sport","Y2",0.642857143
"S28.Sport.Y2","S28","Sport","Y2",0.678571429
"S31.Sport.Y2","S31","Sport","Y2",0.571428571
"C02.Control.Y2","C02","Control","Y2",0.571428571
"C03.Control.Y2","C03","Control","Y2",0.571428571
"C04.Control.Y2","C04","Control","Y2",0.392857143
"C07.Control.Y2","C07","Control","Y2",0.607142857
