"","id","group","year","wasi_vci"
"M102.Music.Y1","M102","Music","Y1",99
"M106.Music.Y1","M106","Music","Y1",98
"M107.Music.Y1","M107","Music","Y1",86
"M108.Music.Y1","M108","Music","Y1",102
"M109.Music.Y1","M109","Music","Y1",98
"M112.Music.Y1","M112","Music","Y1",105
"M113.Music.Y1","M113","Music","Y1",85
"S101.Sport.Y1","S101","Sport","Y1",77
"S103.Sport.Y1","S103","Sport","Y1",105
"S104.Sport.Y1","S104","Sport","Y1",102
"S105.Sport.Y1","S105","Sport","Y1",99
"S107.Sport.Y1","S107","Sport","Y1",89
"S108.Sport.Y1","S108","Sport","Y1",105
"S109.Sport.Y1","S109","Sport","Y1",77
"S110.Sport.Y1","S110","Sport","Y1",91
"S111.Sport.Y1","S111","Sport","Y1",96
"S114.Sport.Y1","S114","Sport","Y1",97
"S117.Sport.Y1","S117","Sport","Y1",102
"C101.Control.Y1","C101","Control","Y1",95
"C102.Control.Y1","C102","Control","Y1",96
"C107.Control.Y1","C107","Control","Y1",120
"C108.Control.Y1","C108","Control","Y1",104
"C109.Control.Y1","C109","Control","Y1",102
"C111.Control.Y1","C111","Control","Y1",80
"C112.Control.Y1","C112","Control","Y1",80
"C113.Control.Y1","C113","Control","Y1",90
"C114.Control.Y1","C114","Control","Y1",105
"C116.Control.Y1","C116","Control","Y1",75
"C104.Control.Y1","C104","Control","Y1",81
"M105.Music.Y1","M105","Music","Y1",91
"S112.Sport.Y1","S112","Sport","Y1",91
"C115.Control.Y1","C115","Control","Y1",98
"M101.Music.Y1","M101","Music","Y1",99
"M104.Music.Y1","M104","Music","Y1",99
"M110.Music.Y1","M110","Music","Y1",96
"M111.Music.Y1","M111","Music","Y1",95
"S106.Sport.Y1","S106","Sport","Y1",87
"C106.Control.Y1","C106","Control","Y1",76
"M02.Music.Y1","M02","Music","Y1",96
"M04.Music.Y1","M04","Music","Y1",96
"M05.Music.Y1","M05","Music","Y1",109
"M06.Music.Y1","M06","Music","Y1",85
"M07.Music.Y1","M07","Music","Y1",90
"M09.Music.Y1","M09","Music","Y1",142
"M10.Music.Y1","M10","Music","Y1",83
"M12.Music.Y1","M12","Music","Y1",99
"M17.Music.Y1","M17","Music","Y1",98
"S01.Sport.Y1","S01","Sport","Y1",102
"S04.Sport.Y1","S04","Sport","Y1",95
"S07.Sport.Y1","S07","Sport","Y1",88
"S08.Sport.Y1","S08","Sport","Y1",106
"S17.Sport.Y1","S17","Sport","Y1",107
"S28.Sport.Y1","S28","Sport","Y1",95
"S31.Sport.Y1","S31","Sport","Y1",112
"C02.Control.Y1","C02","Control","Y1",98
"C03.Control.Y1","C03","Control","Y1",74
"C04.Control.Y1","C04","Control","Y1",95
"C07.Control.Y1","C07","Control","Y1",96
"C08.Control.Y1","C08","Control","Y1",95
"C17.Control.Y1","C17","Control","Y1",99
"C19.Control.Y1","C19","Control","Y1",92
"M01.Music.Y1","M01","Music","Y1",98
"M03.Music.Y1","M03","Music","Y1",94
"M11.Music.Y1","M11","Music","Y1",85
"M15.Music.Y1","M15","Music","Y1",100
"S05.Sport.Y1","S05","Sport","Y1",104
"S10.Sport.Y1","S10","Sport","Y1",92
"S14.Sport.Y1","S14","Sport","Y1",119
"S22.Sport.Y1","S22","Sport","Y1",101
"C01.Control.Y1","C01","Control","Y1",87
"C05.Control.Y1","C05","Control","Y1",103
"C06.Control.Y1","C06","Control","Y1",89
"C11.Control.Y1","C11","Control","Y1",87
"C12.Control.Y1","C12","Control","Y1",90
"C18.Control.Y1","C18","Control","Y1",110
"M08.Music.Y1","M08","Music","Y1",96
"C10.Control.Y1","C10","Control","Y1",113
"C16.Control.Y1","C16","Control","Y1",92
"S15.Sport.Y1","S15","Sport","Y1",78
"S21.Sport.Y1","S21","Sport","Y1",109
"C09.Control.Y1","C09","Control","Y1",106
"S02.Sport.Y1","S02","Sport","Y1",90
"S32.Sport.Y1","S32","Sport","Y1",92
"M102.Music.Y2","M102","Music","Y2",101
"M106.Music.Y2","M106","Music","Y2",94
"M107.Music.Y2","M107","Music","Y2",80
"M108.Music.Y2","M108","Music","Y2",117
"M109.Music.Y2","M109","Music","Y2",98
"M112.Music.Y2","M112","Music","Y2",104
"M113.Music.Y2","M113","Music","Y2",95
"S101.Sport.Y2","S101","Sport","Y2",79
"S103.Sport.Y2","S103","Sport","Y2",102
"S104.Sport.Y2","S104","Sport","Y2",98
"S105.Sport.Y2","S105","Sport","Y2",113
"S107.Sport.Y2","S107","Sport","Y2",97
"S108.Sport.Y2","S108","Sport","Y2",110
"S109.Sport.Y2","S109","Sport","Y2",102
"S110.Sport.Y2","S110","Sport","Y2",95
"S111.Sport.Y2","S111","Sport","Y2",102
"S114.Sport.Y2","S114","Sport","Y2",97
"S117.Sport.Y2","S117","Sport","Y2",109
"C101.Control.Y2","C101","Control","Y2",86
"C102.Control.Y2","C102","Control","Y2",94
"C107.Control.Y2","C107","Control","Y2",126
"C108.Control.Y2","C108","Control","Y2",104
"C109.Control.Y2","C109","Control","Y2",94
"C111.Control.Y2","C111","Control","Y2",80
"C112.Control.Y2","C112","Control","Y2",83
"C113.Control.Y2","C113","Control","Y2",91
"C114.Control.Y2","C114","Control","Y2",104
"C116.Control.Y2","C116","Control","Y2",80
"C104.Control.Y2","C104","Control","Y2",76
"M105.Music.Y2","M105","Music","Y2",86
"S112.Sport.Y2","S112","Sport","Y2",90
"C115.Control.Y2","C115","Control","Y2",105
"M101.Music.Y2","M101","Music","Y2",105
"M104.Music.Y2","M104","Music","Y2",NA
"M110.Music.Y2","M110","Music","Y2",NA
"M111.Music.Y2","M111","Music","Y2",NA
"S106.Sport.Y2","S106","Sport","Y2",NA
"C106.Control.Y2","C106","Control","Y2",NA
"M02.Music.Y2","M02","Music","Y2",105
"M04.Music.Y2","M04","Music","Y2",100
"M05.Music.Y2","M05","Music","Y2",105
"M06.Music.Y2","M06","Music","Y2",96
"M07.Music.Y2","M07","Music","Y2",84
"M09.Music.Y2","M09","Music","Y2",110
