"","id","group","bryant_percent_Y1","bryant_percent_Y2","bryant_percent_Y3","bryant_percent_Y4","bryant_percent_Y5","bryant_percent_Y7"
"1","M102","Music",0.318181818,0.181818182,0.590909091,0.5,".681818182",0.5
"2","M106","Music",0.636363636,0.590909091,0.590909091,0.454545455,"NA",NA
"3","M107","Music",0.5,0.272727273,0.545454545,0.454545455,".363636364",NA
"4","M108","Music",0.454545455,0.636363636,0.409090909,0.409090909,".500000000",0.590909091
"5","M109","Music",0.409090909,0.363636364,0.545454545,0.590909091,".590909091",NA
"6","M112","Music",0.636363636,0.545454545,0.454545455,0.772727273,"NA",NA
"7","M113","Music",0.272727273,0.590909091,0.5,0.727272727,".727272727",NA
"8","S101","Sport",0.545454545,0.818181818,0.5,0.727272727,".727272727",NA
"9","S103","Sport",0.545454545,0.5,0.636363636,0.545454545,".772727273",0.863636364
"10","S104","Sport",0.5,0.5,0.545454545,0.545454545,".363636364",NA
"11","S105","Sport",0.454545455,0.5,0.363636364,0.454545455,".636363636",0.727272727
"12","S107","Sport",0.590909091,0.636363636,0.727272727,0.727272727,".681818182",NA
"13","S108","Sport",0.909090909,0.590909091,0.590909091,0.681818182,".681818182",0.545454545
"14","S109","Sport",0.5,0.636363636,0.409090909,0.545454545,".727272727",NA
"15","S110","Sport",0.454545455,0.454545455,0.454545455,0.636363636,".636363636",0.772727273
"16","S111","Sport",0.590909091,0.772727273,0.636363636,0.681818182,".590909091",0.454545455
"17","S114","Sport",0.545454545,0.590909091,0.636363636,0.727272727,".863636364",NA
"18","S117","Sport",0.5,0.409090909,0.818181818,0.772727273,".772727273",0.818181818
"19","C101","Control",0.636363636,0.772727273,0.409090909,0.727272727,".500000000",0.636363636
"20","C102","Control",0.5,0.454545455,0.409090909,0.454545455,".454545454",0.863636364
"21","C107","Control",0.590909091,0.636363636,0.727272727,0.909090909,".863636364",0.863636364
"22","C108","Control",0.545454545,0.5,0.363636364,0.636363636,".00000000",0.636363636
"23","C109","Control",0.681818182,0.636363636,0.727272727,0.727272727,".545454546",NA
"24","C111","Control",0.636363636,0.590909091,0.363636364,0.545454545,".636363636",0.727272727
"25","C112","Control",0.227272727,0.772727273,0.681818182,0.5,".363636364",0.727272727
"26","C113","Control",0.590909091,0.181818182,0.318181818,0.5,".590909091",0.772727273
"27","C114","Control",0.545454545,0.545454545,0.5,0.318181818,".363636364",NA
"28","C116","Control",0.363636364,0.545454545,0.5,0.636363636,".681818182",NA
"29","C104","Control",0.454545455,0.5,NA,NA,"NA",NA
"30","M105","Music",0.545454545,0.272727273,0.363636364,NA,"NA",NA
"31","S112","Sport",0.772727273,0.590909091,0.590909091,NA,"NA",NA
"32","C115","Control",0.454545455,0.318181818,NA,NA,"NA",NA
"33","M101","Music",0.545454545,0.409090909,NA,NA,"NA",NA
"34","M104","Music",0.636363636,NA,NA,NA,"NA",NA
"35","M110","Music",0.5,NA,NA,NA,"NA",NA
"36","M111","Music",0.409090909,NA,NA,NA,"NA",NA
"37","S106","Sport",0.545454545,NA,NA,NA,"NA",NA
"38","C106","Control",0.409090909,NA,NA,NA,"NA",NA
"39","M02","Music",0.36,0.55,0.454545455,0.272727273,"0.4545455",0.363636364
"40","M04","Music",0.27,0.41,0.636363636,0.5,"0.5909091",0.545454545
"41","M05","Music",0.68,0.59,0.590909091,0.363636364,"0.5000000",0.545454545
"42","M06","Music",0.73,0.73,0.363636364,0.590909091,"0.4545455",0.772727273
"43","M07","Music",0.14,0.55,0.272727273,0.681818182,"0.5909091",0.590909091
"44","M09","Music",0.64,0.73,0.772727273,0.681818182,"0.6818182",0.636363636
"45","M10","Music",0.64,0.55,0.545454545,0.5,"0.3181818",0.318181818
"46","M12","Music",0.64,0.64,0.636363636,0.772727273,"0.7272727",0.863636364
"47","M17","Music",0.64,0.45,0.590909091,0.454545455,"0.5909091",0.863636364
"48","S01","Sport",0.55,0.32,0.363636364,0.545454545,"0.5909091",0.545454545
"49","S04","Sport",0.59,0.36,0.409090909,0.590909091,"0.3636364",0.545454545
"50","S07","Sport",0.55,0.68,0.681818182,0.636363636,"0.8181818",0.727272727
"51","S08","Sport",0.55,0.64,0.681818182,0.409090909,"0.7727273",0.681818182
"52","S17","Sport",0.64,0.41,0.409090909,0.545454545,"0.5909091",0.590909091
"53","S28","Sport",0.55,0.64,0.727272727,0.5,"0.6363636",0.727272727
"54","S31","Sport",0.681818182,0.5,0.454545455,0.545454545,"0.5909091",0.636363636
"55","C02","Control",0.59,0.59,0.636363636,0.681818182,"0.6818182",0.727272727
"56","C03","Control",0.59,0.73,0.409090909,0.454545455,"0.3636364",NA
"57","C04","Control",0.55,0.45,0.636363636,0.545454545,"0.5909091",0.772727273
"58","C07","Control",0.41,0.41,0.636363636,0.772727273,"0.6818182",0.818181818
"59","C08","Control",0.32,0.36,0.545454545,0.681818182,"0.7272727",0.666666667
"60","C17","Control",0.41,0.64,0.727272727,0.636363636,"0.6818182",0.636363636
"61","C19","Control",0.55,0.32,0.454545455,0.454545455,"0.5000000",0.681818182
"62","M01","Music",0.73,0.41,0.636363636,0.636363636,"0.7272727",NA
"63","M03","Music",0.36,0.64,0.545454545,0.772727273,"0.8181818",NA
"64","M11","Music",0.41,0.55,0.454545455,0.454545455,"0.5000000",NA
"65","M15","Music",0.55,0.83,0.863636364,0.590909091,"0.6363636",NA
"66","S05","Sport",0.55,0.64,0.545454545,0.727272727,"0.5909091",NA
"67","S10","Sport",0.23,0.41,0.5,0,"0.0000000",NA
"68","S14","Sport",0.59,0.41,0.318181818,0.454545455,"0.7272727",NA
"69","S22","Sport",0.55,0.55,0.636363636,0.727272727,"0.6818182",NA
"70","C01","Control",0.64,0.68,0.636363636,0.636363636,"0.5454545",NA
"71","C05","Control",0.41,0.64,0.727272727,0.590909091,"NA",NA
"72","C06","Control",0.64,0.68,0.590909091,0.363636364,"0.5000000",NA
"73","C11","Control",0.45,0.32,0.363636364,NA,"NA",NA
"74","C12","Control",0.45,0.64,0.590909091,0.681818182,"0.5454545",NA
"75","C18","Control",0.32,0.41,0.272727273,0.681818182,"0.6818182",NA
"76","M08","Music",0.82,0.82,NA,NA,"NA",NA
"77","C10","Control",0.55,0.64,NA,NA,"NA",NA
"78","C16","Control",0.55,0.5,NA,NA,"NA",NA
"79","S15","Sport",0.59,NA,NA,NA,"NA",NA
"80","S21","Sport",0.55,NA,NA,NA,"NA",NA
"81","C09","Control",0.77,NA,NA,NA,"NA",NA
"82","S02","Sport",0.55,NA,NA,NA,"NA",NA
"83","S32","Sport",0.636363636,NA,NA,NA,"NA",NA
