"","id","group","rmet_percent_correct_Y1","rmet_percent_correct_Y2","rmet_percent_correct_Y3","rmet_percent_correct_Y4","rmet_percent_correct_Y5","rmet_percent_correct_Y7"
"1","M102","Music",0.392857143,0.75,0.821428571,0.785714286,0.785714286,0.857142857
"2","M106","Music",0.535714286,0.75,0.714285714,0.607142857,NA,NA
"3","M107","Music",0.25,0.464285714,0.535714286,0.357142857,0.571428571,NA
"4","M108","Music",0.464285714,0.642857143,0.428571429,0.607142857,0.607142857,0.678571429
"5","M109","Music",0.464285714,0.428571429,0.571428571,0.642857143,0.678571429,NA
"6","M112","Music",0.464285714,0.571428571,0.464285714,0.607142857,NA,NA
"7","M113","Music",0.357142857,0.464285714,0.357142857,0.535714286,0.785714286,NA
"8","S101","Sport",0.214285714,0.535714286,0.642857143,0.678571429,NA,NA
"9","S103","Sport",0.5,0.785714286,0.785714286,0.821428571,0.821428571,0.821428571
"10","S104","Sport",0.285714286,0.535714286,0.642857143,0.607142857,0.75,NA
"11","S105","Sport",0.428571429,0.607142857,0.642857143,0.607142857,0.785714286,0.785714286
"12","S107","Sport",0.428571429,0.678571429,0.535714286,0.892857143,0.678571429,NA
"13","S108","Sport",0.785714286,0.857142857,0.642857143,0.857142857,0.75,0.75
"14","S109","Sport",0.5,0.642857143,0.642857143,0.75,0.785714286,NA
"15","S110","Sport",0.464285714,0.5,0.821428571,0.714285714,0.785714286,0.821428571
"16","S111","Sport",0.571428571,0.642857143,0.535714286,0.607142857,0.75,0.785714286
"17","S114","Sport",0.464285714,0.571428571,0.642857143,0.714285714,NA,NA
"18","S117","Sport",0.535714286,0.821428571,0.714285714,0.821428571,0.821428571,0.678571429
"19","C101","Control",0.678571429,0.678571429,0.821428571,0.857142857,0.75,0.892857143
"20","C102","Control",0.642857143,0.464285714,0.75,0.785714286,0.75,0.607142857
"21","C107","Control",0.714285714,0.642857143,0.785714286,0.75,0.821428571,0.785714286
"22","C108","Control",0.428571429,0.607142857,0.678571429,0.714285714,NA,0.785714286
"23","C109","Control",0.571428571,0.535714286,0.714285714,0.5,0.571428571,NA
"24","C111","Control",0.214285714,0.5,0.535714286,0.464285714,0.535714286,0.714285714
"25","C112","Control",0.464285714,0.642857143,0.571428571,0.75,0.75,0.642857143
"26","C113","Control",0.25,0.5,0.571428571,0.607142857,0.642857143,0.714285714
"27","C114","Control",0.535714286,0.464285714,0.607142857,0.714285714,0.642857143,NA
"28","C116","Control",0.285714286,0.535714286,0.607142857,0.535714286,0.642857143,NA
"29","C104","Control",0.571428571,0.642857143,NA,NA,NA,NA
"30","M105","Music",0.25,0.428571429,0.607142857,NA,NA,NA
"31","S112","Sport",0.535714286,0.535714286,0.607142857,NA,NA,NA
"32","C115","Control",0.678571429,0.607142857,NA,NA,NA,NA
"33","M101","Music",0.464285714,NA,NA,NA,NA,NA
"34","M104","Music",0.464285714,NA,NA,NA,NA,NA
"35","M110","Music",0.392857143,NA,NA,NA,NA,NA
"36","M111","Music",0.285714286,NA,NA,NA,NA,NA
"37","S106","Sport",0.642857143,NA,NA,NA,NA,NA
