"","id","group","wasi_pri_Y1","wasi_pri_Y2","wasi_pri_Y3","wasi_pri_Y4","wasi_pri_Y5","wasi_pri_Y7"
"1","M102","Music",86,75,77,83,92,87
"2","M106","Music",90,84,94,102,NA,NA
"3","M107","Music",80,73,79,83,82,NA
"4","M108","Music",121,100,117,98,105,98
"5","M109","Music",92,104,109,97,101,NA
"6","M112","Music",109,99,112,105,NA,NA
"7","M113","Music",100,95,87,93,84,NA
"8","S101","Sport",84,88,95,99,92,NA
"9","S103","Sport",88,87,83,87,97,101
"10","S104","Sport",74,69,75,74,80,NA
"11","S105","Sport",110,100,96,105,100,103
"12","S107","Sport",91,91,88,89,100,NA
"13","S108","Sport",96,101,80,97,96,96
"14","S109","Sport",81,83,83,100,96,NA
"15","S110","Sport",88,89,80,81,86,89
"16","S111","Sport",82,85,78,90,87,88
"17","S114","Sport",107,95,92,87,92,NA
"18","S117","Sport",91,101,84,87,98,84
"19","C101","Control",84,91,86,84,99,100
"20","C102","Control",95,83,90,100,82,87
"21","C107","Control",116,123,107,117,125,115
"22","C108","Control",91,96,108,92,NA,83
"23","C109","Control",87,98,66,83,92,NA
"24","C111","Control",96,87,89,99,92,103
"25","C112","Control",86,90,79,87,96,100
"26","C113","Control",92,93,118,107,111,115
"27","C114","Control",93,90,100,92,96,NA
"28","C116","Control",100,112,110,112,120,NA
"29","C104","Control",79,85,NA,NA,NA,NA
"30","M105","Music",90,80,75,NA,NA,NA
"31","S112","Sport",83,91,97,NA,NA,NA
"32","C115","Control",92,105,NA,NA,NA,NA
"33","M101","Music",92,94,NA,NA,NA,NA
"34","M104","Music",97,NA,NA,NA,NA,NA
"35","M110","Music",111,NA,NA,NA,NA,NA
"36","M111","Music",107,NA,NA,NA,NA,NA
"37","S106","Sport",80,NA,NA,NA,NA,NA
"38","C106","Control",96,NA,NA,NA,NA,NA
"39","M02","Music",96,102,95,102,103,103
"40","M04","Music",98,96,102,92,88,97
"41","M05","Music",116,120,127,120,126,122
"42","M06","Music",120,98,110,95,116,117
"43","M07","Music",120,106,115,115,113,111
"44","M09","Music",134,132,137,126,135,135
"45","M10","Music",104,96,124,122,115,119
"46","M12","Music",107,105,86,91,100,101
"47","M17","Music",107,96,98,89,100,98
"48","S01","Sport",89,89,100,92,97,94
"49","S04","Sport",94,93,103,95,93,120
"50","S07","Sport",86,87,77,86,83,76
"51","S08","Sport",114,106,98,105,112,112
"52","S17","Sport",103,95,83,94,95,83
"53","S28","Sport",94,111,104,99,104,96
"54","S31","Sport",100,119,105,103,109,106
"55","C02","Control",112,100,98,107,114,103
"56","C03","Control",90,109,112,97,108,103
"57","C04","Control",101,110,116,94,109,112
"58","C07","Control",94,85,92,85,92,100
"59","C08","Control",106,107,105,113,112,117
"60","C17","Control",102,98,99,106,104,105
"61","C19","Control",100,90,88,95,106,99
"62","M01","Music",117,105,130,126,130,NA
"63","M03","Music",95,99,102,96,99,NA
"64","M11","Music",92,99,87,90,96,NA
"65","M15","Music",111,95,110,116,108,NA
"66","S05","Sport",117,105,101,104,106,NA
"67","S10","Sport",96,79,98,NA,NA,NA
"68","S14","Sport",96,100,99,91,99,NA
"69","S22","Sport",101,93,107,108,110,NA
"70","C01","Control",90,104,98,96,101,NA
"71","C05","Control",100,90,100,98,NA,NA
"72","C06","Control",79,72,83,78,79,NA
"73","C11","Control",83,93,97,NA,NA,NA
"74","C12","Control",79,79,87,82,70,NA
"75","C18","Control",114,120,121,104,119,NA
"76","M08","Music",113,113,NA,NA,NA,NA
"77","C10","Control",100,96,NA,NA,NA,NA
"78","C16","Control",110,98,NA,NA,NA,NA
"79","S15","Sport",90,NA,NA,NA,NA,NA
"80","S21","Sport",94,NA,NA,NA,NA,NA
"81","C09","Control",94,NA,NA,NA,NA,NA
"82","S02","Sport",84,NA,NA,NA,NA,NA
"83","S32","Sport",100,NA,NA,NA,NA,NA
